127.0.0.1, 2017-03-30 16:23:49, GET, /admin/default/peek/earnings_reports/controllers/default.py, HTTP/1.1, 200, 0.039447
127.0.0.1, 2017-03-30 16:23:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000227
127.0.0.1, 2017-03-30 16:25:06, GET, /earningsReports, HTTP/1.1, 404, 0.000350
127.0.0.1, 2017-03-30 16:25:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000213
127.0.0.1, 2017-03-30 16:25:11, GET, /earnings_reports, HTTP/1.1, 200, 0.023101
127.0.0.1, 2017-03-30 16:25:17, GET, /admin/default/edit/earnings_reports/controllers/default.py, HTTP/1.1, 200, 0.043556
127.0.0.1, 2017-03-30 16:25:17, GET, /admin/default/edit/earnings_reports/controllers/default.py, HTTP/1.1, 200, 0.059848
127.0.0.1, 2017-03-30 16:25:17, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.059299
127.0.0.1, 2017-03-30 16:25:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000253
127.0.0.1, 2017-03-30 16:25:17, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.132002
127.0.0.1, 2017-03-30 16:25:17, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.168208
127.0.0.1, 2017-03-30 16:25:17, GET, /earnings_reports/appadmin/hooks, HTTP/1.1, 200, 0.409089
127.0.0.1, 2017-03-30 16:25:17, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.294826
127.0.0.1, 2017-03-30 16:25:19, GET, /earnings_reports, HTTP/1.1, 200, 0.584594
127.0.0.1, 2017-03-30 16:25:27, GET, /earnings_reports.xml, HTTP/1.1, 400, 0.000281
127.0.0.1, 2017-03-30 16:25:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000223
127.0.0.1, 2017-03-30 16:25:28, GET, /earnings_reports, HTTP/1.1, 200, 0.539418
127.0.0.1, 2017-03-30 16:28:45, GET, /admin/default/edit/earnings_reports/controllers/default.py, HTTP/1.1, 200, 0.045635
127.0.0.1, 2017-03-30 16:28:45, GET, /admin/default/edit/earnings_reports/controllers/default.py, HTTP/1.1, 200, 0.053243
127.0.0.1, 2017-03-30 16:28:45, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.177794
127.0.0.1, 2017-03-30 16:28:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000232
127.0.0.1, 2017-03-30 16:28:45, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.317569
127.0.0.1, 2017-03-30 16:28:45, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.390640
127.0.0.1, 2017-03-30 16:28:46, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.299450
127.0.0.1, 2017-03-30 16:28:47, GET, /earnings_reports/appadmin/hooks, HTTP/1.1, 200, 1.623323
127.0.0.1, 2017-03-30 16:29:45, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.163678
127.0.0.1, 2017-03-30 16:29:46, GET, /earnings_reports/appadmin/hooks, HTTP/1.1, 200, 1.363111
127.0.0.1, 2017-03-30 16:29:48, POST, /admin/default/create_file, HTTP/1.1, 200, 0.039135
127.0.0.1, 2017-03-30 16:29:48, GET, /admin/default/edit/earnings_reports/models/companies.py, HTTP/1.1, 200, 0.033952
127.0.0.1, 2017-03-30 16:29:48, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.115026
127.0.0.1, 2017-03-30 16:29:48, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.062795
127.0.0.1, 2017-03-30 16:29:52, GET, /admin/default/edit/earnings_reports/models/companies.py, HTTP/1.1, 200, 0.035430
127.0.0.1, 2017-03-30 16:30:45, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.199992
127.0.0.1, 2017-03-30 16:30:47, GET, /earnings_reports/appadmin/hooks, HTTP/1.1, 200, 1.414547
127.0.0.1, 2017-03-30 16:31:39, POST, /admin/default/edit/earnings_reports/models/companies.py, HTTP/1.1, 200, 0.044178
